Date,Cash Buyer,Cash Seller & Settlement,3-months Buyer,3-months Seller,15-months Buyer,15-months Seller,Dec 1 Buyer,Dec 1 Seller,Dec 2 Buyer,Dec 2 Seller,Dec 3 Buyer,Dec 3 Seller
2017-11-01,2187.0,2188.0,2196.5,2197.0,,,2238.0,2243.0,2272.0,2277.0,2298.0,2303.0
2017-11-02,2151.5,2152.0,2166.0,2167.0,,,2213.0,2218.0,2245.0,2250.0,2272.0,2277.0
2017-11-03,2163.0,2165.0,2183.0,2183.5,,,2228.0,2233.0,2260.0,2265.0,2287.0,2292.0
2017-11-06,2151.0,2152.0,2172.0,2172.5,,,2215.0,2220.0,2250.0,2255.0,2275.0,2280.0
2017-11-07,2130.0,2131.0,2150.0,2150.5,,,2195.0,2200.0,2228.0,2233.0,2255.0,2260.0
2017-11-08,2103.0,2103.5,2118.0,2120.0,,,2165.0,2170.0,2198.0,2203.0,2225.0,2230.0
2017-11-09,2077.5,2078.0,2091.5,2092.0,,,2138.0,2143.0,2172.0,2177.0,2198.0,2203.0
2017-11-10,2089.0,2090.0,2103.0,2104.0,,,2148.0,2153.0,2183.0,2188.0,2208.0,2213.0
2017-11-13,2099.0,2100.0,2113.0,2114.0,,,2158.0,2163.0,2193.0,2198.0,2220.0,2225.0
2017-11-14,2084.5,2085.0,2105.0,2105.5,,,2150.0,2155.0,2183.0,2188.0,2210.0,2215.0
2017-11-15,2081.5,2082.0,2096.0,2096.5,,,2142.0,2147.0,2177.0,2182.0,2203.0,2208.0
2017-11-16,2105.5,2106.0,2123.0,2123.5,,,2168.0,2173.0,2203.0,2208.0,2230.0,2235.0
2017-11-17,2076.5,2077.0,2095.0,2095.5,,,2140.0,2145.0,2175.0,2180.0,2202.0,2207.0
2017-11-20,2067.0,2067.5,2081.5,2082.0,,,2128.0,2133.0,2163.0,2168.0,2188.0,2193.0
2017-11-21,2060.0,2062.0,2078.0,2080.0,,,2125.0,2130.0,2162.0,2167.0,2188.0,2193.0
2017-11-22,2084.5,2085.0,2102.0,2102.5,,,2148.0,2153.0,2185.0,2190.0,2210.0,2215.0
2017-11-23,2088.0,2090.0,2103.0,2103.5,,,2150.0,2155.0,2187.0,2192.0,2213.0,2218.0
2017-11-24,2103.0,2104.0,2119.0,2120.0,,,2167.0,2172.0,2203.0,2208.0,2228.0,2233.0
2017-11-27,2109.0,2109.5,2123.0,2124.0,,,2170.0,2175.0,2205.0,2210.0,2232.0,2237.0
2017-11-28,2099.5,2100.0,2112.5,2113.5,,,2160.0,2165.0,2195.0,2200.0,2222.0,2227.0
2017-11-29,2060.0,2062.0,2075.0,2075.5,,,2123.0,2128.0,2160.0,2165.0,2185.0,2190.0
2017-11-30,2032.5,2033.0,2050.0,2052.0,,,2100.0,2105.0,2138.0,2143.0,2163.0,2168.0
2017-12-01,2046.0,2046.5,2060.0,2062.0,,,2110.0,2115.0,2150.0,2155.0,2175.0,2180.0
2017-12-04,2052.0,2052.5,2070.0,2070.5,,,2118.0,2123.0,2157.0,2162.0,2183.0,2188.0
2017-12-05,2051.5,2052.0,2067.0,2067.5,,,2115.0,2120.0,2153.0,2158.0,2178.0,2183.0
2017-12-06,2028.0,2028.5,2042.5,2043.0,,,2090.0,2095.0,2130.0,2135.0,2155.0,2160.0
2017-12-07,1993.5,1994.0,2011.0,2012.0,,,2062.0,2067.0,2102.0,2107.0,2128.0,2133.0
2017-12-08,1991.5,1992.0,2011.5,2012.0,,,2060.0,2065.0,2102.0,2107.0,2128.0,2133.0
2017-12-12,2003.0,2004.0,2026.0,2026.5,,,2073.0,2078.0,2115.0,2120.0,2140.0,2145.0
2017-12-13,1996.5,1997.0,2015.0,2015.5,,,2063.0,2068.0,2105.0,2110.0,2132.0,2137.0
2017-12-14,2015.0,2017.0,2033.0,2033.5,,,2078.0,2083.0,2120.0,2125.0,2147.0,2152.0
2017-12-15,2035.5,2036.0,2050.0,2051.0,,,2095.0,2100.0,2135.0,2140.0,2162.0,2167.0
2017-12-18,2046.5,2047.5,2066.0,2068.0,,,2110.0,2115.0,2150.0,2155.0,2175.0,2180.0
2017-12-19,2060.5,2061.0,2080.0,2082.0,,,2125.0,2130.0,2165.0,2170.0,2190.0,2195.0
2017-12-20,2091.5,2092.0,2113.0,2114.0,,,2157.0,2162.0,2197.0,2202.0,2223.0,2228.0
2017-12-21,2108.0,2108.5,2125.0,2125.5,,,2165.0,2170.0,2205.0,2210.0,2230.0,2235.0
2017-12-22,2136.0,2137.0,2153.0,2153.5,,,2193.0,2198.0,2232.0,2237.0,2258.0,2263.0
2017-12-27,2199.0,2199.5,2207.0,2209.0,,,2243.0,2248.0,2280.0,2285.0,2307.0,2312.0
2017-12-28,2245.0,2246.0,2256.5,2257.0,,,2295.0,2300.0,2335.0,2340.0,2360.0,2365.0
2017-12-29,2241.0,2241.5,2250.5,2251.0,,,2288.0,2293.0,2327.0,2332.0,2353.0,2358.0
